NAME,B01001F_016E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_029E,B01001I_030E,B01001I_031E,state,county,tract,YEAR
"Census Tract 9783.02, Socorro County, New Mexico",0,0,0,9,0,0,0,0,0,0,85,17,23,73,36,9,67,5,12,10,12,18,35,053,978302,2015
"Census Tract 9782, Socorro County, New Mexico",0,0,0,0,0,0,0,0,0,0,61,37,9,49,20,28,40,16,0,55,17,13,35,053,978200,2015
"Census Tract 3, Roosevelt County, New Mexico",0,21,0,0,0,0,0,3,0,0,88,32,36,157,37,41,23,0,0,45,0,2,35,041,000300,2015
"Census Tract 2, Roosevelt County, New Mexico",0,0,44,13,12,0,0,0,0,0,28,9,24,45,38,12,29,34,0,17,69,17,35,041,000200,2015
"Census Tract 1, Roosevelt County, New Mexico",0,32,0,0,0,0,0,0,0,0,148,66,51,112,136,97,37,0,0,32,0,0,35,041,000100,2015
"Census Tract 2, Los Alamos County, New Mexico",0,0,0,0,15,0,0,0,0,0,83,61,37,221,32,38,19,12,8,0,24,0,35,028,000200,2015
"Census Tract 1, Los Alamos County, New Mexico",0,0,0,0,0,0,0,5,0,0,140,191,39,130,118,47,0,0,0,0,0,0,35,028,000100,2015
"Census Tract 4, Los Alamos County, New Mexico",0,24,0,0,12,0,0,0,0,0,128,65,39,111,53,126,34,16,3,24,4,30,35,028,000400,2015
"Census Tract 5, Los Alamos County, New Mexico",0,0,32,0,0,0,0,0,0,0,370,54,23,219,129,45,45,66,0,36,65,0,35,028,000500,2015
"Census Tract 3, Rio Arriba County, New Mexico",117,0,15,0,0,0,0,0,0,0,70,56,0,83,16,0,187,100,117,172,142,0,35,039,000300,2015
"Census Tract 4, Rio Arriba County, New Mexico",7,44,0,3,0,0,0,0,0,3,131,32,10,90,10,11,231,88,7,124,107,135,35,039,000400,2015
"Census Tract 9408, Rio Arriba County, New Mexico",6,27,30,13,0,0,0,3,0,3,64,22,6,61,30,18,117,52,9,123,55,44,35,039,940800,2015
"Census Tract 2, Rio Arriba County, New Mexico",0,0,21,6,0,7,0,0,8,0,0,20,9,145,7,6,87,138,0,34,125,26,35,039,000200,2015
"Census Tract 9407, Rio Arriba County, New Mexico",6,69,32,26,3,6,6,0,0,0,39,5,8,33,36,37,102,48,16,122,80,63,35,039,940700,2015
"Census Tract 1, Rio Arriba County, New Mexico",0,37,34,0,0,0,0,0,0,0,1,0,0,0,7,1,108,12,0,86,60,0,35,039,000100,2015
"Census Tract 5, Rio Arriba County, New Mexico",3,48,0,0,0,0,0,0,0,0,164,32,8,72,20,31,149,95,31,272,99,3,35,039,000500,2015
"Census Tract 6, Luna County, New Mexico",0,4,15,0,0,0,0,0,0,0,20,10,4,15,6,5,78,27,10,131,71,25,35,029,000600,2015
"Census Tract 3, Luna County, New Mexico",0,7,10,0,0,0,0,8,0,0,37,89,32,40,130,32,43,25,0,46,63,0,35,029,000300,2015
"Census Tract 2, Luna County, New Mexico",0,18,0,0,0,0,0,0,0,0,127,99,32,87,134,22,76,54,8,106,80,9,35,029,000200,2015
"Census Tract 4, Luna County, New Mexico",0,0,0,0,0,0,0,0,0,0,236,147,0,260,67,17,142,80,13,145,14,33,35,029,000400,2015
"Census Tract 9453, McKinley County, New Mexico",0,6,15,0,9,0,0,7,0,0,10,0,0,7,10,4,58,22,0,124,27,33,35,031,945300,2015
"Census Tract 9454, McKinley County, New Mexico",0,19,42,0,8,0,0,0,0,0,35,9,0,9,12,16,100,8,7,65,42,0,35,031,945400,2015
"Census Tract 9455, McKinley County, New Mexico",0,26,0,0,19,0,0,25,0,0,204,84,41,224,82,11,95,12,0,77,63,0,35,031,945500,2015
"Census Tract 9460, McKinley County, New Mexico",0,0,0,0,3,0,0,0,0,0,56,8,5,57,24,6,2,21,0,0,24,0,35,031,946000,2015
"Census Tract 9437, McKinley County, New Mexico",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,031,943700,2015
"Census Tract 9457, McKinley County, New Mexico",0,5,0,0,0,0,0,0,0,0,6,15,0,4,11,0,0,0,0,5,0,0,35,031,945700,2015
"Census Tract 9403, McKinley County, New Mexico",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,35,031,940300,2015
"Census Tract 9436, McKinley County, New Mexico",0,0,0,0,0,0,0,0,0,0,2,0,0,17,4,0,0,0,0,0,0,0,35,031,943600,2015
"Census Tract 9452, McKinley County, New Mexico",0,7,0,54,0,0,0,0,0,0,0,0,0,30,15,28,9,56,0,7,33,54,35,031,945200,2015
"Census Tract 9456, McKinley County, New Mexico",49,5,0,0,0,0,0,0,0,0,45,34,44,11,19,38,8,0,49,5,0,0,35,031,945600,2015
"Census Tract 9435, McKinley County, New Mexico",0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,35,031,943500,2015
