NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 10.02, Santa Fe County, New Mexico",0,68,100,0,0,0,0,0,0,99,228,0,0,0,0,0,0,143,41,18,125,136,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,35,049,001002,2017
"Census Tract 104, Santa Fe County, New Mexico",455,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,130,52,278,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,14,0,0,0,0,0,0,0,0,0,35,049,010400,2017
"Census Tract 11.03, Santa Fe County, New Mexico",117,112,0,0,6,0,0,0,0,56,25,0,0,0,0,0,0,70,44,0,132,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,001103,2017
"Census Tract 6, Santa Fe County, New Mexico",0,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,28,26,155,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,049,000600,2017
"Census Tract 9502, Union County, New Mexico",615,158,59,0,0,0,0,0,0,79,14,0,0,1,0,0,0,180,102,36,212,140,6,0,0,0,0,0,12,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,35,059,950200,2017
"Census Tract 9781, Socorro County, New Mexico",67,372,107,0,0,0,0,0,0,63,0,0,0,0,0,0,0,354,117,101,270,135,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,35,053,978100,2017
"Census Tract 9783.01, Socorro County, New Mexico",42,174,63,7,0,0,0,0,0,51,6,0,0,0,0,0,0,103,72,22,136,98,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,35,053,978301,2017
"Census Tract 9783.03, Socorro County, New Mexico",0,441,18,0,0,0,0,33,0,69,9,0,0,0,0,0,0,69,33,4,147,58,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,053,978303,2017
"Census Tract 9783.02, Socorro County, New Mexico",421,98,5,0,0,0,0,0,0,2,5,0,0,5,88,0,0,92,31,16,84,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,8,0,35,053,978302,2017
"Census Tract 9782, Socorro County, New Mexico",0,101,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,129,25,86,125,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,053,978200,2017
