NAME,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,B02013_001E,B03003_003E,B03003_002E,B21001_001E,B01001_025E,B01001_049E,state,county,tract,block group,YEAR
"Block Group 1, Census Tract 11.02, Bernalillo County, New Mexico",649,6,41,0,0,0,13,0,13,662,6,54,0,0,0,137,572,524,0,10,35,001,001102,1,2018
"Block Group 3, Census Tract 9701.01, Valencia County, New Mexico",727,0,17,0,0,76,32,6,26,759,13,30,0,0,82,546,306,640,0,22,35,061,970101,3,2018
"Block Group 2, Census Tract 37.12, Bernalillo County, New Mexico",824,16,1,38,0,86,47,0,47,871,16,1,85,0,86,214,798,793,34,59,35,001,003712,2,2018
"Block Group 2, Census Tract 3, Lea County, New Mexico",540,18,0,0,0,38,0,0,0,540,18,0,0,0,38,539,57,424,0,0,35,025,000300,2,2018
"Block Group 3, Census Tract 9441, Rio Arriba County, New Mexico",299,14,237,16,2,837,40,40,0,302,14,274,16,2,877,1080,365,1179,6,3,35,039,944100,3,2018
"Block Group 1, Census Tract 11.01, Chaves County, New Mexico",603,0,0,0,0,100,34,0,34,637,0,5,29,0,100,430,307,563,11,0,35,005,001101,1,2018
"Block Group 3, Census Tract 4.01, Otero County, New Mexico",570,72,3,0,0,34,24,0,24,578,88,3,8,16,34,265,438,585,16,16,35,035,000401,3,2018
"Block Group 3, Census Tract 107.12, Sandoval County, New Mexico",645,45,33,0,0,10,12,12,0,657,45,33,0,0,22,268,477,603,0,31,35,043,010712,3,2018
"Block Group 2, Census Tract 108, Santa Fe County, New Mexico",2102,11,24,11,0,94,0,0,0,2102,11,24,11,0,94,1183,1059,1765,9,35,35,049,010800,2,2018
"Block Group 2, Census Tract 9458, Cibola County, New Mexico",117,0,1062,2,0,16,0,0,0,117,0,1062,2,0,16,23,1174,823,0,10,35,006,945800,2,2018
"Block Group 1, Census Tract 103.16, Santa Fe County, New Mexico",743,14,0,10,0,24,45,11,34,788,21,27,10,0,35,309,527,723,14,17,35,049,010316,1,2018
"Block Group 4, Census Tract 10.03, Lea County, New Mexico",888,0,7,0,0,0,59,0,59,947,0,66,0,0,0,527,427,565,0,11,35,025,001003,4,2018
"Block Group 2, Census Tract 9403, McKinley County, New Mexico",9,0,2229,23,0,0,5,0,5,14,0,2234,23,0,0,41,2225,1578,15,0,35,031,940300,2,2018
"Block Group 2, Census Tract 1.14, Bernalillo County, New Mexico",907,137,0,8,0,330,49,31,18,956,137,0,26,0,361,654,777,1213,0,17,35,001,000114,2,2018
"Block Group 1, Census Tract 9461, Cibola County, New Mexico",5,0,1167,0,0,14,34,0,34,29,10,1201,0,0,14,32,1188,1021,3,21,35,006,946100,1,2018
