NAME,B26001_001E,B02014_001E,B16005_007E,B16005_008E,B16005_012E,B16005_013E,B16005_017E,B16005_022E,B16005_023E,B16005_029E,B16005_030E,B16005_034E,B16005_035E,B16005_039E,B16005_040E,B16005_044E,B16005_045E,B01001A_014E,B01001A_015E,B01001A_016E,B01001A_029E,B01001A_030E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_014E,B01001F_015E,state,county,tract,YEAR
"Census Tract 37.37, Bernalillo County, New Mexico",18,59,9,0,0,0,0,0,0,0,0,15,0,23,0,0,0,209,62,8,205,29,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,35,001,003737,2018
"Census Tract 37.38, Bernalillo County, New Mexico",82,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,87,61,223,108,0,0,8,0,0,0,0,0,0,42,0,0,0,0,0,0,11,0,0,0,0,0,0,0,54,8,35,001,003738,2018
"Census Tract 47.34, Bernalillo County, New Mexico",7,205,140,39,0,0,0,0,0,682,583,0,0,0,0,0,0,58,0,0,68,13,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,35,001,004734,2018
"Census Tract 47.35, Bernalillo County, New Mexico",0,35,33,7,0,0,0,0,0,254,114,0,0,0,0,0,0,27,13,11,72,16,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004735,2018
"Census Tract 47.36, Bernalillo County, New Mexico",0,111,20,0,0,0,0,0,0,113,111,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,001,004736,2018
"Census Tract 47.33, Bernalillo County, New Mexico",0,240,30,0,0,0,0,0,0,355,141,0,0,0,0,0,0,39,0,0,139,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004733,2018
"Census Tract 47.37, Bernalillo County, New Mexico",0,259,36,0,0,0,0,0,0,82,25,0,0,0,0,0,0,67,45,0,73,24,5,0,0,0,0,1,23,0,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004737,2018
"Census Tract 47.38, Bernalillo County, New Mexico",0,188,16,0,0,0,0,0,0,202,134,10,0,16,0,0,0,75,11,0,70,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,12,16,35,001,004738,2018
"Census Tract 47.39, Bernalillo County, New Mexico",0,256,64,0,0,0,0,0,0,335,206,0,0,21,20,0,0,102,31,0,69,66,12,0,0,0,0,0,17,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004739,2018
"Census Tract 47.40, Bernalillo County, New Mexico",0,513,21,0,0,0,0,0,0,595,181,0,0,0,0,0,0,178,17,0,81,77,0,0,0,0,15,0,0,0,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,001,004740,2018
