B28002_002E	Estimate!!Total:!!With an Internet subscription
B28002_003E	Estimate!!Total:!!With an Internet subscription!!Dial-up with no other type of Internet subscription
B28002_004E	Estimate!!Total:!!With an Internet subscription!!Broadband of any type
B28002_005E	Estimate!!Total:!!With an Internet subscription!!Cellular data plan
B28002_006E	Estimate!!Total:!!With an Internet subscription!!Cellular data plan!!Cellular data plan with no other type of Internet subscription
B28002_007E	Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL
B28002_008E	Estimate!!Total:!!With an Internet subscription!!Broadband such as cable, fiber optic or DSL!!Broadband such as cable, fiber optic or DSL with no other type of Internet subscription
B28002_009E	Estimate!!Total:!!With an Internet subscription!!Satellite Internet service
B28002_010E	Estimate!!Total:!!With an Internet subscription!!Satellite Internet service!!Satellite Internet service with no other type of Internet subscription
B28002_011E	Estimate!!Total:!!With an Internet subscription!!Other service with no other type of Internet subscription
B28002_012E	Estimate!!Total:!!Internet access without a subscription
B28002_013E	Estimate!!Total:!!No Internet access
B28003_003E	Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone
B28003_004E	Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription
B28003_005E	Estimate!!Total:!!Has a computer:!!Without an Internet subscription
B28004_003E	Estimate!!Total:!!Less than $10,000:!!With dial-up Internet subscription alone
B28004_004E	Estimate!!Total:!!Less than $10,000:!!With a broadband Internet subscription
B28004_005E	Estimate!!Total:!!Less than $10,000:!!Without an Internet subscription
B28004_007E	Estimate!!Total:!!$10,000 to $19,999:!!With dial-up Internet subscription alone
B28004_008E	Estimate!!Total:!!$10,000 to $19,999:!!With a broadband Internet subscription
B28004_009E	Estimate!!Total:!!$10,000 to $19,999:!!Without an Internet subscription
B28004_011E	Estimate!!Total:!!$20,000 to $34,999:!!With dial-up Internet subscription alone
B28004_012E	Estimate!!Total:!!$20,000 to $34,999:!!With a broadband Internet subscription
B28004_013E	Estimate!!Total:!!$20,000 to $34,999:!!Without an Internet subscription
B28004_015E	Estimate!!Total:!!$35,000 to $49,999:!!With dial-up Internet subscription alone
B28004_016E	Estimate!!Total:!!$35,000 to $49,999:!!With a broadband Internet subscription
B28004_017E	Estimate!!Total:!!$35,000 to $49,999:!!Without an Internet subscription
B28004_019E	Estimate!!Total:!!$50,000 to $74,999:!!With dial-up Internet subscription alone
B28004_020E	Estimate!!Total:!!$50,000 to $74,999:!!With a broadband Internet subscription
B28004_021E	Estimate!!Total:!!$50,000 to $74,999:!!Without an Internet subscription
B28004_023E	Estimate!!Total:!!$75,000 or more:!!With dial-up Internet subscription alone
B28004_024E	Estimate!!Total:!!$75,000 or more:!!With a broadband Internet subscription
B28004_025E	Estimate!!Total:!!$75,000 or more:!!Without an Internet subscription
B28005_004E	Estimate!!Total:!!Under 18 years:!!Has a computer:!!With dial-up Internet subscription alone
B28005_005E	Estimate!!Total:!!Under 18 years:!!Has a computer:!!With a broadband Internet subscription
B28005_006E	Estimate!!Total:!!Under 18 years:!!Has a computer:!!Without an Internet subscription
B28005_010E	Estimate!!Total:!!18 to 64 years:!!Has a computer:!!With dial-up Internet subscription alone
B28005_011E	Estimate!!Total:!!18 to 64 years:!!Has a computer:!!With a broadband Internet subscription
B28005_012E	Estimate!!Total:!!18 to 64 years:!!Has a computer:!!Without an Internet subscription
B28005_016E	Estimate!!Total:!!65 years and over:!!Has a computer:!!With dial-up Internet subscription alone
B28005_017E	Estimate!!Total:!!65 years and over:!!Has a computer:!!With a broadband Internet subscription
B28005_018E	Estimate!!Total:!!65 years and over:!!Has a computer:!!Without an Internet subscription
B28006_004E	Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With dial-up Internet subscription alone
B28006_005E	Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!With a broadband Internet subscription
B28006_006E	Estimate!!Total:!!Less than high school graduate or equivalency:!!Has a computer:!!Without an Internet subscription
B28006_010E	Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With dial-up Internet subscription alone
B28006_011E	Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!With a broadband Internet subscription
B28006_012E	Estimate!!Total:!!High school graduate (includes equivalency) , some college or associate's degree :!!Has a computer:!!Without an Internet subscription
B28006_016E	Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With dial-up Internet subscription alone
B28006_017E	Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!With a broadband Internet subscription
B28006_018E	Estimate!!Total:!!Bachelor's degree or higher:!!Has a computer:!!Without an Internet subscription
B28007_005E	Estimate!!Total:!!In the civilian labor force:!!Employed:!!Has a computer:!!With dial-up Internet subscription alone
B28007_006E	Estimate!!Total:!!In the civilian labor force:!!Employed:!!Has a computer:!!With a broadband Internet subscription
B28007_007E	Estimate!!Total:!!In the civilian labor force:!!Employed:!!Has a computer:!!Without an Internet subscription
